X*,Y*,date_index
6438459.626260839,-11737028.356650023,227.0
6393976.352267847,-11721053.246002365,228.0
6364271.987795306,-11704276.84477508,229.0
6358583.919245472,-11702110.552722406,230.0
6358640.341715157,-11702135.557730697,231.0
6365298.193138109,-11705086.14870872,232.0
6382749.074773928,-11726346.800052559,233.0
6488161.652835935,-11835866.274874704,234.0
6514553.7998124175,-11863021.877357746,235.0
6521038.991617165,-11869760.76796193,236.0
6522688.500803195,-11871457.993117122,237.0
6521352.767121565,-11870360.786125302,238.0
6509331.163986889,-11860485.92319892,239.0
6422866.549686216,-11797190.005483761,240.0
6384127.182108075,-11783313.75230381,241.0
6330290.295327509,-11911005.72288498,242.0
6317691.733533569,-11949000.958696252,243.0
6311183.934020574,-11967798.182848461,244.0
6304378.678607274,-11970653.152640615,245.0
6271697.037433749,-11873235.995270932,246.0
6259362.425286562,-11834146.960351137,247.0
6253344.500075579,-11814846.722109068,248.0
6234941.649266537,-11757231.165646894,249.0
6242975.903118853,-11758243.2623225,250.0
6237598.85564501,-11455132.753197977,251.0
5994110.430944629,-11326079.357389558,252.0
5882843.790407701,-11329658.971189454,253.0
5843144.11688238,-11333801.533561632,254.0
5787774.574390074,-11335655.31887201,255.0
5776634.988744331,-11363467.406587731,256.0
5948300.882560331,-11590536.867673349,257.0
6039388.9779861495,-11698283.104927633,258.0
6073562.843554702,-11737466.164677251,259.0
6086284.507512705,-11750967.678468714,260.0
6091031.397049273,-11756005.556749113,261.0
6093357.372922193,-11758474.117106508,262.0
6093974.468561946,-11759129.041282961,263.0
6096656.461150113,-11761975.442511385,264.0
6091668.488041988,-11759596.00644776,265.0
6025179.767456656,-11717991.024180377,266.0
5547165.979387644,-11413024.486174772,267.0
5390827.687337884,-11279440.96938168,268.0
5354990.617756723,-11242648.522425435,269.0
5346206.767605669,-11233937.89205063,270.0
5333050.435092121,-11214045.833896758,271.0
5323718.6172997495,-11187188.840170274,272.0
5263061.80164933,-11012618.3809481,273.0
5226901.00770389,-10908547.530257963,274.0
5224568.053255797,-10901833.281826342,275.0
5222235.098807705,-10895119.03339472,276.0
5219252.342891621,-10896511.668277057,277.0
5192407.539646868,-10909045.382218074,278.0
4977633.571384184,-11009398.985984966,279.0
4932765.3038214985,-11030973.629169645,280.0
4922801.6055018045,-11040632.493413838,281.0
4922436.36134218,-11042603.961024052,282.0
4922255.034454423,-11043582.703809261,283.0
4912280.247634063,-11046532.882268095,284.0
4898269.22042891,-11060904.421820162,285.0
4834580.284434145,-11068238.904847313,286.0
4514799.418944164,-11158298.694692977,287.0
4299095.37070212,-11206877.945616772,288.0
4229011.504733581,-11223560.418761568,289.0
4228074.476179198,-11224588.227314591,290.0
4268461.835798156,-11247156.605191166,291.0
4324661.33788963,-11270864.233835459,292.0
4609380.496749283,-11337500.316821318,293.0
4711782.461245824,-11356869.07716188,294.0
4696964.753965947,-11333593.72155795,295.0
4097081.7562684943,-11098739.886799082,296.0
3885126.2678441284,-11017983.806877723,297.0
3815275.6154466267,-10993692.827777755,298.0
3600204.2524714875,-10934082.322969686,299.0
3551092.5592213706,-10876600.34522029,300.0
3415269.2155803842,-10844994.007011829,301.0
3464500.1365203667,-10525887.647250524,302.0
3407574.7555139824,-10578470.667195424,303.0
3363497.9031307255,-10645939.037154665,304.0
3315427.501713876,-10685000.55234537,305.0
3344071.3791622473,-10634789.579401799,306.0
3347633.182060815,-10677409.213311387,307.0
3344314.0431171013,-10696437.697271997,308.0
3329693.855313831,-10718152.382531364,309.0
3236581.7661045454,-10836619.83892593,310.0
3187873.2808531947,-10893411.542607758,311.0
3170180.420227893,-10890320.727344843,312.0
3166662.1043229895,-10887149.753953414,313.0
3187486.723431172,-10892924.042012425,314.0
3217020.5987135605,-10878236.634626254,315.0
3230269.2532536625,-10870614.675724389,316.0
3231838.3909342014,-10868284.336414952,317.0
3232017.8664841414,-10867849.815640055,318.0
3232682.6810470484,-10867886.150548773,319.0
3233843.518286258,-10866339.78806759,320.0
3238214.761640397,-10859114.793041844,321.0
3242723.3196628974,-10860248.55088256,322.0
3255979.8809557753,-10877879.620516121,323.0
3299250.723232854,-10922543.070175262,324.0
3316927.657894904,-10939970.644155836,325.0
3356443.7098337924,-10978614.738439465,326.0
3376464.8703147145,-10998148.2021467,327.0
3360798.224260047,-10990746.760334356,328.0
3242949.6033485574,-10925175.269896634,329.0
3191878.208648784,-10901621.581122229,330.0
3164621.8179184417,-10899259.978731284,331.0
