LATITUDE,LONGITUDE,OBSERVATION DATE
3016233.8001305303,-10946355.732595636,43177
3096966.6799724447,-10883787.243565537,43177
3096966.6799724447,-10883787.243565537,43177
3096966.6799724447,-10883787.243565537,43177
3096966.6799724447,-10883787.243565537,43177
3593870.2319748183,-10838037.415274147,43177
3134373.229614278,-10885097.133334536,43177
3186018.363579812,-10876380.587145137,43177
2999790.261846309,-10844560.692906838,43178
2999790.261846309,-10844560.692906838,43178
3639818.02411771,-10843652.815667724,43178
3016233.8001305303,-10946355.732595636,43178
3016233.8001305303,-10946355.732595636,43178
3096966.6799724447,-10883787.243565537,43178
3096966.6799724447,-10883787.243565537,43178
3096966.6799724447,-10883787.243565537,43178
3096966.6799724447,-10883787.243565537,43178
3593870.2319748183,-10838037.415274147,43178
3010758.999208893,-10907172.195788177,43178
3010758.999208893,-10907172.195788177,43178
3016233.8001305303,-10946355.732595636,43178
3134373.229614278,-10885097.133334536,43178
3186018.363579812,-10876380.587145137,43178
3639818.02411771,-10843652.815667724,43179
3016233.8001305303,-10946355.732595636,43179
3016233.8001305303,-10946355.732595636,43179
3096966.6799724447,-10883787.243565537,43179
3096966.6799724447,-10883787.243565537,43179
3096966.6799724447,-10883787.243565537,43179
3096966.6799724447,-10883787.243565537,43179
3593870.2319748183,-10838037.415274147,43179
3010758.999208893,-10907172.195788177,43179
3010758.999208893,-10907172.195788177,43179
3016233.8001305303,-10946355.732595636,43179
3081014.1840633443,-10880863.526195446,43179
3081014.1840633443,-10880863.526195446,43179
3081014.1840633443,-10880863.526195446,43179
4118290.9317548866,-12505903.994510325,43179
3081014.1840633443,-10880863.526195446,43179
3081014.1840633443,-10880863.526195446,43179
3081014.1840633443,-10880863.526195446,43179
3134373.229614278,-10885097.133334536,43179
3186018.363579812,-10876380.587145137,43179
3096966.6799724447,-10883787.243565537,43180
3096966.6799724447,-10883787.243565537,43180
3096966.6799724447,-10883787.243565537,43180
3096966.6799724447,-10883787.243565537,43180
3593870.2319748183,-10838037.415274147,43180
3010758.999208893,-10907172.195788177,43180
3010758.999208893,-10907172.195788177,43180
3016233.8001305303,-10946355.732595636,43180
3081014.1840633443,-10880863.526195446,43180
3081014.1840633443,-10880863.526195446,43180
3081014.1840633443,-10880863.526195446,43180
4118290.9317548866,-12505903.994510325,43180
3081014.1840633443,-10880863.526195446,43180
3081014.1840633443,-10880863.526195446,43180
3081014.1840633443,-10880863.526195446,43180
3013003.2466894845,-10834496.03057744,43180
3013003.2466894845,-10834496.03057744,43180
3636513.644991846,-10865514.015568435,43180
3016233.8001305303,-10946355.732595636,43180
3016233.8001305303,-10946355.732595636,43180
3016233.8001305303,-10946355.732595636,43180
3016233.8001305303,-10946355.732595636,43180
3636513.644991846,-10865514.015568435,43180
3096966.6799724447,-10883787.243565537,43180
3096966.6799724447,-10883787.243565537,43180
3096966.6799724447,-10883787.243565537,43180
3096966.6799724447,-10883787.243565537,43180
3096966.6799724447,-10883787.243565537,43180
4127564.416739154,-12507131.959813263,43180
3096966.6799724447,-10883787.243565537,43180
3134373.229614278,-10885097.133334536,43180
3186018.363579812,-10876380.587145137,43180
3096966.6799724447,-10883787.243565537,43181
3096966.6799724447,-10883787.243565537,43181
3096966.6799724447,-10883787.243565537,43181
3096966.6799724447,-10883787.243565537,43181
3593870.2319748183,-10838037.415274147,43181
3010758.999208893,-10907172.195788177,43181
3010758.999208893,-10907172.195788177,43181
3016233.8001305303,-10946355.732595636,43181
3081014.1840633443,-10880863.526195446,43181
3081014.1840633443,-10880863.526195446,43181
3081014.1840633443,-10880863.526195446,43181
4118290.9317548866,-12505903.994510325,43181
3081014.1840633443,-10880863.526195446,43181
3081014.1840633443,-10880863.526195446,43181
3081014.1840633443,-10880863.526195446,43181
3013003.2466894845,-10834496.03057744,43181
3013003.2466894845,-10834496.03057744,43181
3636513.644991846,-10865514.015568435,43181
3016233.8001305303,-10946355.732595636,43181
3016233.8001305303,-10946355.732595636,43181
3016233.8001305303,-10946355.732595636,43181
3016233.8001305303,-10946355.732595636,43181
3636513.644991846,-10865514.015568435,43181
3096966.6799724447,-10883787.243565537,43181
3096966.6799724447,-10883787.243565537,43181
3096966.6799724447,-10883787.243565537,43181
3096966.6799724447,-10883787.243565537,43181
3096966.6799724447,-10883787.243565537,43181
4127564.416739154,-12507131.959813263,43181
3096966.6799724447,-10883787.243565537,43181
3345495.853316876,-10698112.143799778,43181
3096966.6799724447,-10883787.243565537,43181
3188582.582924459,-10897734.607282365,43181
3096966.6799724447,-10883787.243565537,43181
3186018.363579812,-10876380.587145137,43181
3010758.999208893,-10907172.195788177,43182
3010758.999208893,-10907172.195788177,43182
3016233.8001305303,-10946355.732595636,43182
3081014.1840633443,-10880863.526195446,43182
3081014.1840633443,-10880863.526195446,43182
