X,Y,date_index
6842537.208319033,-11910697.636184856,178.0
6845358.455744316,-11895258.795995573,179.0
7080849.210766096,-11598588.117324874,180.0
6467192.52831725,-11483737.143402722,181.0
6406839.320509064,-11720294.184151014,182.0
6607438.243288724,-11825291.858148385,183.0
6611811.612222044,-11789098.29148074,184.0
6631069.954513822,-11812317.9152163,185.0
6612109.685122138,-11819454.435813382,186.0
6632583.142260491,-11826043.397573931,187.0
6622978.721337354,-11997436.028196355,188.0
6615341.605675299,-11794937.717220295,189.0
6290855.430668107,-12120704.377124207,190.0
6346407.74885221,-12094701.5536125,191.0
6342449.495271028,-12100978.645085463,192.0
6392617.090611849,-12068877.843831977,193.0
6299097.030936166,-11967119.658732433,194.0
6533467.444815524,-11917563.94293673,195.0
6609421.485311347,-11946110.373274123,196.0
6616518.214809953,-11888317.92834006,197.0
6414722.493268477,-11964177.13156712,198.0
6387925.508811219,-11966796.738414032,199.0
6359116.940602725,-11973643.36509313,200.0
6191483.528315331,-11760055.533764878,201.0
6296558.193897801,-11961954.574755903,202.0
6296509.919227252,-11978950.640169714,203.0
6211149.0502300095,-11983877.716776852,204.0
6173967.827336631,-11986711.459055318,205.0
6234209.231632613,-11985332.427637396,206.0
6234209.231632613,-11985332.427637396,207.0
6234209.231632613,-11985332.427637396,208.0
6226679.056095615,-11985504.806564637,209.0
6309379.685511035,-11930539.611069014,210.0
6226679.056095615,-11985504.806564637,211.0
6246315.099840604,-11979751.33498322,212.0
6263087.0635280935,-11932816.916286346,213.0
6338464.662448601,-11886661.765658312,214.0
6458807.829332671,-11820551.351435622,215.0
6292379.185507745,-11897576.73681599,216.0
6292379.185507745,-11897576.73681599,217.0
6231106.418197979,-11924563.373648176,218.0
6275965.6136591695,-12107063.338190898,219.0
6275965.6136591695,-12107063.338190898,220.0
6275965.6136591695,-12107063.338190898,221.0
6309964.875766683,-12147180.631236091,222.0
6309964.875766683,-12147180.631236091,223.0
6309964.875766683,-12147180.631236091,224.0
6512804.1179491095,-11920309.549776366,225.0
6483487.860989769,-11736193.869097382,226.0
6429746.32562923,-11726557.61251832,227.0
6374664.323105981,-11709236.980084594,228.0
6357737.582200193,-11701735.477598077,229.0
6357737.582200193,-11701735.477598077,230.0
6357737.582200193,-11701735.477598077,231.0
6369022.076137384,-11706736.479255756,232.0
6357737.582200193,-11701735.477598077,233.0
6522688.5008032005,-11871457.993117154,234.0
6522688.5008032005,-11871457.993117154,235.0
6522688.5008032005,-11871457.993117154,236.0
6522688.5008032005,-11871457.993117154,237.0
6522688.5008032005,-11871457.993117154,238.0
6522688.5008032005,-11871457.993117154,239.0
6389115.13264014,-11761737.29393512,240.0
6389115.13264014,-11761737.29393512,241.0
6312002.054042002,-11956008.052919189,242.0
6317191.050491534,-11951504.901586486,243.0
6310146.413891533,-11973537.170793142,244.0
6308290.7737410655,-11991066.288667098,245.0
6255960.989297742,-11823238.1300404,246.0
6255960.989297742,-11823238.1300404,247.0
6255960.989297742,-11823238.1300404,248.0
6229796.097076081,-11739324.05072705,249.0
6255960.989297742,-11823238.1300404,250.0
6282389.96945605,-11254013.035135848,251.0
5854480.892649092,-11330096.020275846,252.0
5854480.892649092,-11330096.020275846,253.0
5854480.892649092,-11330096.020275846,254.0
5748001.003240805,-11333660.992026549,255.0
5748001.003240805,-11333660.992026549,256.0
5998561.988876948,-11657867.68784705,257.0
6074512.22146202,-11738473.740333335,258.0
6074512.22146202,-11738473.740333335,259.0
6093499.779608287,-11758625.253454909,260.0
6093499.779608287,-11758625.253454909,261.0
6093499.779608287,-11758625.253454909,262.0
6093499.779608287,-11758625.253454909,263.0
6098246.669144854,-11763663.131735304,264.0
6098246.669144854,-11763663.131735304,265.0
6100620.1139131375,-11766182.0708755,266.0
5428561.335015947,-11344355.90727866,267.0
5338882.821212361,-11230831.45497579,268.0
5338882.821212361,-11230831.45497579,269.0
5338882.821212361,-11230831.45497579,270.0
5338882.821212361,-11230831.45497579,271.0
5338882.821212361,-11230831.45497579,272.0
5222235.098807711,-10895119.033394735,273.0
5222235.098807711,-10895119.033394735,274.0
5222235.098807711,-10895119.033394735,275.0
5222235.098807711,-10895119.033394735,276.0
5222235.098807711,-10895119.033394735,277.0
5222235.098807711,-10895119.033394735,278.0
4923959.507199337,-11034382.52162829,279.0
4923959.507199337,-11034382.52162829,280.0
4922405.276732845,-11042771.745501507,281.0
4922405.276732845,-11042771.745501507,282.0
4922146.238321763,-11044169.949480375,283.0
4922405.276732845,-11042771.745501507,284.0
4918519.700566618,-11063744.805184549,285.0
4923959.507199337,-11034382.52162829,286.0
4423795.454920381,-11189581.566453926,287.0
4225588.876430191,-11222941.920532456,288.0
4225588.876430191,-11222941.920532456,289.0
4225588.876430191,-11222941.920532456,290.0
4265141.405226703,-11248731.596297562,291.0
4290540.070685554,-11266572.74599129,292.0
4753401.286604198,-11372411.251997754,293.0
4753401.286604198,-11372411.251997754,294.0
4813927.597421465,-11371230.948176648,295.0
3850493.559128897,-11004157.857624952,296.0
3850493.559128897,-11004157.857624952,297.0
3850493.559128897,-11004157.857624952,298.0
3520554.5882991245,-10917280.116871698,299.0
3574321.7437494043,-10871856.198653502,300.0
3338893.609995532,-10933170.339661336,301.0
3514449.214296004,-10335966.600450233,302.0
3380813.1731327004,-10617249.574776627,303.0
3362100.956402322,-10657711.48940269,304.0
3288134.228572125,-10710229.532852268,305.0
3357614.3515020013,-10607830.828022292,306.0
3345395.445960044,-10698033.983602304,307.0
3345395.445960044,-10698033.983602304,308.0
3345395.4459600435,-10698033.983602304,309.0
3188379.5394979003,-10899217.972893037,310.0
3188379.5394979003,-10899217.972893037,311.0
3164744.3196667205,-10887663.10854474,312.0
3161367.8596908376,-10886012.41363784,313.0
3188379.5394979003,-10899217.972893037,314.0
3229795.961534189,-10871101.5204694,315.0
3232096.873869539,-10869539.495334754,316.0
3231876.0924826358,-10867725.885972127,317.0
3231876.0924826358,-10867725.885972127,318.0
3232873.1378696943,-10868166.423562314,319.0
3233205.82244119,-10867577.964231271,320.0
3239859.513871095,-10855808.777610363,321.0
3239859.513871095,-10855808.777610363,322.0
3251817.000223818,-10876536.637775851,323.0
3316401.388871952,-10939547.811024986,324.0
3316401.388871952,-10939547.811024986,325.0
3380985.7775200857,-11002558.98427412,326.0
3380985.7775200857,-11002558.98427412,327.0
3380985.7775200857,-11002558.98427412,328.0
3193590.3725713897,-10896105.125226071,329.0
3188379.539497899,-10899217.972893031,330.0
3152557.276916335,-10900033.870938154,331.0
3201344.271942034,-10892220.325232709,332.0
3201344.271942034,-10892220.325232709,333.0
3139128.584334325,-10912523.935967809,334.0
3328820.794387692,-10827002.275189992,335.0
3330744.0097445296,-10830494.106015371,336.0
3207982.261720079,-10903875.584098477,337.0
3188572.3905150844,-11049634.093367305,338.0
3188572.3905150844,-11049634.093367305,339.0
3188572.3905150844,-11049634.093367305,340.0
3139071.531266876,-10892215.92126239,341.0
3594914.978859713,-10814380.469646018,342.0
3556189.2444731616,-10820116.70270854,343.0
3617456.047475872,-10817001.925470002,344.0
3528265.263986132,-10861420.518665573,345.0
3446904.6036581174,-10719451.205813345,346.0
3430335.582371591,-10725950.588971982,347.0
3392266.840136393,-10741803.061139563,348.0
3411527.701270678,-10734092.750165395,349.0
3397220.6515954663,-10741606.344343562,350.0
3401376.665432252,-10728358.009942232,351.0
3394463.7329366477,-10736741.958906772,352.0
3413318.093614445,-10756413.71085166,353.0
3411311.5618837844,-10767775.907104462,354.0
3187380.640897672,-10844870.215787644,355.0
3225932.8697597366,-10849737.73645598,356.0
3205515.5446955,-10844864.788133789,357.0
3215186.7739291326,-10848582.556505883,358.0
3198108.290009399,-10849460.595891625,359.0
3187552.888742486,-10852144.38697874,360.0
3096963.4053985816,-10899104.474720776,361.0
3096963.4053985816,-10899104.474720776,362.0
3010558.352191831,-10909319.896638988,363.0
3010570.1549575403,-10909193.561294822,364.0
